,number,value,datetime_start,datetime_complete,duration,params_activation,params_dropout,params_layers,params_shrink,system_attrs_completed_rung_0,system_attrs_completed_rung_1,system_attrs_completed_rung_2,state
102,102,0.09801220148801804,2023-01-05 19:07:18.283154,2023-01-05 19:07:30.747931,0 days 00:00:12.464777,relu,0.0,3,0.5,0.09047539532184601,0.09801220148801804,,PRUNED
103,103,0.2810841202735901,2023-01-05 19:07:30.842597,2023-01-05 19:07:38.231165,0 days 00:00:07.388568,tanh,0.0,6,0.55,0.2810841202735901,,,PRUNED
104,104,0.0424412302672863,2023-01-05 19:07:38.323598,2023-01-05 19:08:06.195029,0 days 00:00:27.871431,sigmoid,0.05,2,0.5,0.06983881443738937,0.0424412302672863,,PRUNED
105,105,0.043568748980760574,2023-01-05 19:08:06.304587,2023-01-05 19:08:34.592884,0 days 00:00:28.288297,sigmoid,0.45,3,0.65,0.043568748980760574,,,PRUNED
106,106,0.13230520486831665,2023-01-05 19:08:34.702621,2023-01-05 19:09:13.540185,0 days 00:00:38.837564,relu,0.1,2,0.5,0.07365276664495468,0.05106935650110245,0.035035450011491776,COMPLETE
107,107,0.11553417146205902,2023-01-05 19:09:13.669844,2023-01-05 19:09:20.689414,0 days 00:00:07.019570,relu,0.15000000000000002,3,0.5,0.11553417146205902,,,PRUNED
108,108,0.04581539332866669,2023-01-05 19:09:20.790636,2023-01-05 19:09:48.787305,0 days 00:00:27.996669,sigmoid,0.4,2,0.9,0.04581539332866669,,,PRUNED
109,109,0.1251804083585739,2023-01-05 19:09:48.904707,2023-01-05 19:09:56.061960,0 days 00:00:07.157253,relu,0.05,2,0.5,0.1251804083585739,,,PRUNED
110,110,0.05251626670360565,2023-01-05 19:09:56.163631,2023-01-05 19:10:24.485234,0 days 00:00:28.321603,sigmoid,0.30000000000000004,4,0.8,0.05251626670360565,,,PRUNED
111,111,0.08748576045036316,2023-01-05 19:10:24.602247,2023-01-05 19:10:37.258646,0 days 00:00:12.656399,sigmoid,0.15000000000000002,3,0.7,0.08748576045036316,,,PRUNED
112,112,0.04119240865111351,2023-01-05 19:10:37.352758,2023-01-05 19:11:05.282358,0 days 00:00:27.929600,sigmoid,0.25,2,0.55,0.06778911501169205,0.04119240865111351,,PRUNED
113,113,0.03778552636504173,2023-01-05 19:11:05.399491,2023-01-05 19:11:33.587724,0 days 00:00:28.188233,relu,0.1,2,0.55,0.0957927480340004,0.05491270497441292,0.03778552636504173,PRUNED
114,114,0.12949715554714203,2023-01-05 19:11:33.695877,2023-01-05 19:11:40.804313,0 days 00:00:07.108436,relu,0.05,2,0.5,0.12949715554714203,,,PRUNED
115,115,0.050502464175224304,2023-01-05 19:11:40.897955,2023-01-05 19:12:09.302090,0 days 00:00:28.404135,relu,0.4,3,0.7,0.050502464175224304,,,PRUNED
116,116,0.08143336325883865,2023-01-05 19:12:09.419507,2023-01-05 19:12:21.842131,0 days 00:00:12.422624,sigmoid,0.1,3,0.6,0.08143336325883865,,,PRUNED
117,117,0.13675794005393982,2023-01-05 19:12:21.953007,2023-01-05 19:12:29.066831,0 days 00:00:07.113824,relu,0.1,2,0.75,0.13675794005393982,,,PRUNED
118,118,0.10105009377002716,2023-01-05 19:12:29.160260,2023-01-05 19:12:41.707587,0 days 00:00:12.547327,relu,0.2,4,0.7,0.10105009377002716,,,PRUNED
119,119,0.2623550593852997,2023-01-05 19:12:41.827682,2023-01-05 19:13:03.198524,0 days 00:00:21.370842,tanh,0.35000000000000003,7,0.95,,,,COMPLETE
120,120,0.14934201538562775,2023-01-05 19:13:03.321394,2023-01-05 19:13:33.973735,0 days 00:00:30.652341,sigmoid,0.25,2,0.8,0.04199816659092903,,,COMPLETE
121,121,0.14229752123355865,2023-01-05 19:13:34.094089,2023-01-05 19:14:04.833267,0 days 00:00:30.739178,sigmoid,0.25,2,0.8500000000000001,0.07758194953203201,0.05309605970978737,0.03273429349064827,COMPLETE
122,122,0.05873853713274002,2023-01-05 19:14:04.948637,2023-01-05 19:14:17.508206,0 days 00:00:12.559569,sigmoid,0.25,2,0.8500000000000001,0.09129435569047928,0.05873853713274002,,PRUNED
123,123,0.13376295566558838,2023-01-05 19:14:17.619224,2023-01-05 19:14:24.924803,0 days 00:00:07.305579,sigmoid,0.30000000000000004,3,0.9,0.13376295566558838,,,PRUNED
124,124,0.042499274015426636,2023-01-05 19:14:25.035701,2023-01-05 19:14:52.972914,0 days 00:00:27.937213,sigmoid,0.2,2,0.8,0.042499274015426636,,,PRUNED
125,125,0.15058746933937073,2023-01-05 19:14:53.091885,2023-01-05 19:15:21.224361,0 days 00:00:28.132476,sigmoid,0.1,2,0.7,0.03363101929426193,,,COMPLETE
126,126,0.04344954341650009,2023-01-05 19:15:21.343388,2023-01-05 19:15:49.855000,0 days 00:00:28.511612,sigmoid,0.05,3,0.6,0.04344954341650009,,,PRUNED
127,127,0.12624794244766235,2023-01-05 19:15:49.994514,2023-01-05 19:15:57.104666,0 days 00:00:07.110152,sigmoid,0.2,2,0.8500000000000001,0.12624794244766235,,,PRUNED
128,128,0.13325396180152893,2023-01-05 19:15:57.202615,2023-01-05 19:16:33.167395,0 days 00:00:35.964780,sigmoid,0.05,2,0.7,0.034533340483903885,,,COMPLETE
129,129,0.11240094155073166,2023-01-05 19:16:33.296189,2023-01-05 19:16:46.117484,0 days 00:00:12.821295,tanh,0.05,5,0.65,0.11240094155073166,,,PRUNED
130,130,0.3163059651851654,2023-01-05 19:16:46.224544,2023-01-05 19:16:53.741940,0 days 00:00:07.517396,sigmoid,0.15000000000000002,8,0.8,0.3163059651851654,,,PRUNED
131,131,0.15932266414165497,2023-01-05 19:16:53.841011,2023-01-05 19:17:01.349606,0 days 00:00:07.508595,sigmoid,0.25,7,0.75,0.15932266414165497,,,PRUNED
132,132,0.10392194986343384,2023-01-05 19:17:01.456418,2023-01-05 19:17:08.783381,0 days 00:00:07.326963,tanh,0.0,2,0.95,0.10392194986343384,,,PRUNED
133,133,0.10026157647371292,2023-01-05 19:17:08.881109,2023-01-05 19:17:15.999076,0 days 00:00:07.117967,relu,0.25,2,0.55,0.10026157647371292,,,PRUNED
134,134,0.03532188758254051,2023-01-05 19:17:16.114298,2023-01-05 19:17:44.346373,0 days 00:00:28.232075,tanh,0.05,2,0.6,0.08140889555215836,0.05208767578005791,0.03532188758254051,PRUNED
135,135,0.2151401787996292,2023-01-05 19:17:44.454002,2023-01-05 19:17:57.403676,0 days 00:00:12.949674,tanh,0.15000000000000002,6,0.55,0.2151401787996292,,,PRUNED
136,136,0.13121478259563446,2023-01-05 19:17:57.511360,2023-01-05 19:18:04.687091,0 days 00:00:07.175731,relu,0.2,2,0.6,0.13121478259563446,,,PRUNED
137,137,0.14052627980709076,2023-01-05 19:18:04.802318,2023-01-05 19:18:11.960950,0 days 00:00:07.158632,tanh,0.1,3,0.65,0.14052627980709076,,,PRUNED
138,138,0.04436812549829483,2023-01-05 19:18:12.077440,2023-01-05 19:18:40.242145,0 days 00:00:28.164705,sigmoid,0.05,3,0.55,0.04436812549829483,,,PRUNED
139,139,0.13142184913158417,2023-01-05 19:18:40.357976,2023-01-05 19:18:47.649922,0 days 00:00:07.291946,sigmoid,0.05,2,0.5,0.13142184913158417,,,PRUNED
140,140,0.14151738584041595,2023-01-05 19:18:47.768065,2023-01-05 19:18:55.124642,0 days 00:00:07.356577,tanh,0.15000000000000002,5,0.6,0.14151738584041595,,,PRUNED
141,141,0.1400013267993927,2023-01-05 19:18:55.242577,2023-01-05 19:19:02.440414,0 days 00:00:07.197837,relu,0.2,3,0.5,0.1400013267993927,,,PRUNED
142,142,0.13132764399051666,2023-01-05 19:19:02.556296,2023-01-05 19:19:09.647948,0 days 00:00:07.091652,tanh,0.1,2,0.8500000000000001,0.13132764399051666,,,PRUNED
143,143,0.045491158962249756,2023-01-05 19:19:09.757069,2023-01-05 19:19:38.012792,0 days 00:00:28.255723,relu,0.30000000000000004,2,0.6,0.08051556348800659,0.045491158962249756,,PRUNED
144,144,0.13006339967250824,2023-01-05 19:19:38.120485,2023-01-05 19:19:45.203431,0 days 00:00:07.082946,relu,0.30000000000000004,2,0.9,0.13006339967250824,,,PRUNED
145,145,0.13891521096229553,2023-01-05 19:19:45.311800,2023-01-05 19:19:52.462087,0 days 00:00:07.150287,tanh,0.05,2,0.55,0.13891521096229553,,,PRUNED
