,number,value,datetime_start,datetime_complete,duration,params_activation,params_dropout,params_layers,params_shrink,system_attrs_completed_rung_0,system_attrs_completed_rung_1,system_attrs_completed_rung_2,system_attrs_completed_rung_3,state
77,77,1.4753813743591309,2022-12-25 01:22:06.924076,2022-12-25 01:23:26.486958,0 days 00:01:19.562882,sigmoid,0.30000000000000004,2,0.65,5.701566219329834,,,,COMPLETE
78,78,23.131423950195312,2022-12-25 01:23:26.586936,2022-12-25 01:23:41.703080,0 days 00:00:15.116144,sigmoid,0.45,2,0.8,23.131423950195312,,,,PRUNED
79,79,90.46012878417969,2022-12-25 01:23:41.787173,2022-12-25 01:23:50.235761,0 days 00:00:08.448588,relu,0.4,3,0.95,90.46012878417969,,,,PRUNED
80,80,24.841434478759766,2022-12-25 01:23:50.328137,2022-12-25 01:24:05.759584,0 days 00:00:15.431447,relu,0.4,4,0.7,24.841434478759766,,,,PRUNED
81,81,110.30752563476562,2022-12-25 01:24:05.852250,2022-12-25 01:24:14.725561,0 days 00:00:08.873311,sigmoid,0.30000000000000004,5,0.7,110.30752563476562,,,,PRUNED
82,82,33.983001708984375,2022-12-25 01:24:14.809908,2022-12-25 01:24:30.332708,0 days 00:00:15.522800,relu,0.15000000000000002,4,0.9,46.52037811279297,33.983001708984375,,,PRUNED
83,83,90.00071716308594,2022-12-25 01:24:30.426153,2022-12-25 01:24:39.357018,0 days 00:00:08.930865,tanh,0.5,7,0.8,90.00071716308594,,,,PRUNED
84,84,9.385950088500977,2022-12-25 01:24:39.441357,2022-12-25 01:25:15.402206,0 days 00:00:35.960849,sigmoid,0.45,3,0.6,9.385950088500977,,,,PRUNED
85,85,95.52378845214844,2022-12-25 01:25:15.489406,2022-12-25 01:25:23.845300,0 days 00:00:08.355894,relu,0.35000000000000003,2,0.85,95.52378845214844,,,,PRUNED
86,86,27.085935592651367,2022-12-25 01:25:23.937841,2022-12-25 01:25:39.026475,0 days 00:00:15.088634,relu,0.35000000000000003,2,0.7,27.085935592651367,,,,PRUNED
87,87,127.4146499633789,2022-12-25 01:25:39.111813,2022-12-25 01:25:48.326770,0 days 00:00:09.214957,sigmoid,0.0,8,0.9,127.4146499633789,,,,PRUNED
88,88,35.99922561645508,2022-12-25 01:25:48.411105,2022-12-25 01:26:03.708930,0 days 00:00:15.297825,relu,0.35000000000000003,3,0.75,35.99922561645508,,,,PRUNED
89,89,93.5876235961914,2022-12-25 01:26:03.793267,2022-12-25 01:26:12.158293,0 days 00:00:08.365026,relu,0.2,2,0.6,93.5876235961914,,,,PRUNED
90,90,30.872920989990234,2022-12-25 01:26:12.242383,2022-12-25 01:26:27.290467,0 days 00:00:15.048084,relu,0.30000000000000004,2,0.75,30.872920989990234,,,,PRUNED
91,91,88.20960998535156,2022-12-25 01:26:27.374563,2022-12-25 01:26:36.089125,0 days 00:00:08.714562,relu,0.25,2,0.65,88.20960998535156,,,,PRUNED
92,92,1.63914954662323,2022-12-25 01:26:36.182455,2022-12-25 01:27:48.801321,0 days 00:01:12.618866,sigmoid,0.4,2,0.85,13.484097480773926,6.236056327819824,,,COMPLETE
93,93,92.80548858642578,2022-12-25 01:27:48.916922,2022-12-25 01:27:57.466935,0 days 00:00:08.550013,relu,0.1,3,0.6,92.80548858642578,,,,PRUNED
